as_of,a,b,beta,adf_stat,adf_pvalue
2024-11-01,AAPL,INTC,-0.2680088337412275,-2.299210492017828,0.17222272998849297
2024-11-01,AAPL,ADBE,0.01270379964978352,-1.0069931710509976,0.7507051647913584
2024-11-01,AAPL,ORCL,0.5425021675006089,-1.841323120613319,0.36014735297389633
2024-11-01,AAPL,CRM,-0.24050123244017396,-1.388358560703696,0.587844271216805
2024-11-01,AAPL,CSCO,0.6778100208168731,-1.6470101775260375,0.458600168567942
2024-11-01,AAPL,QCOM,0.2565569219280764,-0.7115185551236785,0.8437433700134469
2024-11-01,MSFT,GOOG,0.489613730629332,-2.6552696906183137,0.08210350525397792
2024-11-01,MSFT,META,0.285813596343048,-2.4150260540789654,0.13754025031184713
2024-11-01,MSFT,NVDA,0.14781703062189067,-2.738004902249415,0.0676894681851872
2024-11-01,MSFT,AMD,0.28492685386889693,-1.8352754810656484,0.3630943047591557
2024-11-01,MSFT,INTC,-0.09556395065776147,-3.0555484880431014,0.030022523577588684
2024-11-01,MSFT,ADBE,-0.2960122621165548,-3.2954889823995805,0.015081325215578154
2024-11-01,MSFT,ORCL,0.2565797327399116,-2.034746823377175,0.27154863428896164
2024-11-01,MSFT,CRM,0.20081779156583685,-1.9103791606567169,0.32719428997840705
2024-11-01,MSFT,CSCO,-0.07367489040555242,-2.779642880767454,0.06124098953387963
2024-11-01,MSFT,QCOM,0.3647604252947846,-3.1960042572757144,0.020217136643651254
2024-11-01,GOOG,META,0.39587112089002774,-1.6248462332437519,0.4701895318755329
2024-11-01,GOOG,NVDA,0.24045623893060591,-2.2353235367523197,0.19367567626855098
2024-11-01,GOOG,AMD,0.21934923478813972,-1.2652073809233888,0.6449359201018836
2024-11-01,GOOG,INTC,-0.21198368708121457,-2.424899748750122,0.1348316032796404
2024-11-01,GOOG,ADBE,-0.6420974152387771,-2.8095645554527926,0.05692047435485113
2024-11-01,GOOG,ORCL,0.4096181943383926,-1.9196333593560053,0.32288207014638676
2024-11-01,GOOG,CRM,0.02434959774629991,-1.7959758920477662,0.3824613738392391
2024-11-01,GOOG,CSCO,-0.20340915783126112,-1.698388958644886,0.4319427244289724
2024-11-01,GOOG,QCOM,0.615051996065426,-2.2854606853157504,0.17670007515780073
2024-11-01,META,NVDA,0.4566220245547129,-2.3776812772506304,0.1481350348785394
2024-11-01,META,AMD,0.7946729955967013,-0.8798583793752212,0.7945329620892774
2024-11-01,META,INTC,-0.4111049471244915,-2.681472189863771,0.07729962974873204
2024-11-01,META,ADBE,-1.1436921995926845,-2.5071018065024036,0.11375592697392117
2024-11-01,META,ORCL,0.8824002590811665,-2.2203302032505574,0.198949677763402
2024-11-01,META,CRM,0.9132444979548808,-1.1829436056031206,0.6808895723468694
2024-11-01,META,CSCO,0.7426731822733821,-2.464829889987396,0.12426773989258383
2024-11-01,META,QCOM,0.8851494312840511,-1.3321931880489415,0.6143182595925614
2024-11-01,NVDA,AMD,1.2049065142341209,-0.10268203340904461,0.9491707364737691
2024-11-01,NVDA,INTC,-0.944288464917886,-2.609814696040843,0.09098568866961515
2024-11-01,NVDA,ADBE,-2.337320508804199,-2.427076034625677,0.13423975669714056
2024-11-01,NVDA,ORCL,1.9149922705008289,-1.7491427017291603,0.40598690990057806
2024-11-01,NVDA,CRM,0.8795473379248036,-1.0831644326724452,0.7217388278300096
2024-11-01,NVDA,CSCO,0.8555391761942964,-1.9195425202726015,0.3229242731072332
2024-11-01,NVDA,QCOM,2.072049986228979,-0.5691983304992319,0.8777911658227875
2024-11-01,AMD,INTC,0.0502272990475138,-2.912494312588534,0.04391425119626178
2024-11-01,AMD,ADBE,-0.37313165223356237,-2.9137267468126273,0.04377489051314229
2024-11-01,AMD,ORCL,0.12700276278480424,-2.659729851714047,0.08126972490437867
2024-11-01,AMD,CRM,1.0455897353675656,-2.691532532681458,0.07551500702345677
2024-11-01,AMD,CSCO,0.04029979764305114,-2.8521292837168333,0.05120462647548816
2024-11-01,AMD,QCOM,0.49194459753055736,-2.180040400052422,0.21356922351687024
2024-11-01,INTC,ADBE,1.3546229893286368,-1.0517165686167829,0.7339379741092205
2024-11-01,INTC,ORCL,-1.4874338208007685,-2.3287376002467797,0.16286694068206964
2024-11-01,INTC,CRM,0.31438134385785355,-0.5360322532808448,0.8847911940870941
2024-11-01,INTC,CSCO,-1.4457989575945058,-1.3438771025658194,0.6088672422345669
2024-11-01,INTC,QCOM,-0.8626540607819972,-1.1846102467196544,0.6801807129424334
2024-11-01,ADBE,ORCL,-0.22596159356176887,-2.090636658467159,0.24829627850351116
2024-11-01,ADBE,CRM,-0.2289064195120858,-2.010794284748986,0.2818603295271473
2024-11-01,ADBE,CSCO,0.017168933916697826,-1.6353936725388913,0.4646687323632519
2024-11-01,ADBE,QCOM,-0.39815769577020377,-2.8078211343587425,0.05716523038679942
2024-11-01,ORCL,CRM,0.2077485668904755,-0.45979092542477784,0.8996270841627625
2024-11-01,ORCL,CSCO,1.4258071951167,-2.0146220623135394,0.2801988641512071
